hour_of_day	day_of_week	is_weekend	review_length	user_elite	city	category	price_range	context_id
night	4	0	long	1	Edmonton	Restaurants	2	8530
night	6	1	long	0	Reno	Burgers	2	8531
morning	3	0	medium	1	O Fallon	Restaurants	2	8532
afternoon	6	1	medium	1	Tucson	Restaurants	1	8533
evening	3	0	long	1	Philadelphia	Pizza	2	8534
afternoon	5	1	long	1	Tucson	Coffee & Tea	1	8535
evening	1	0	long	1	Franklin	Barbeque	2	8536
evening	6	1	medium	0	Valrico	Sushi Bars	2	8537
night	3	0	short	1	Tucson	Coffee & Tea	1	8538
night	3	0	long	1	St. Louis	Restaurants	2	8539
night	6	1	medium	0	Voorhees Township	Restaurants	1	8540
afternoon	2	0	medium	1	Indianapolis	Breakfast & Brunch	2	8541
night	2	0	long	1	Willow Grove	Sushi Bars	2	8542
afternoon	0	0	long	1	Ballwin	Food	2	8543
evening	4	0	long	1	King of Prussia	Coffee & Tea	3	8544
morning	3	0	long	1	Tucson	Restaurants	2	8545
evening	5	1	short	1	New Orleans	Food	2	8546
night	4	0	medium	1	Santa Barbara	Live/Raw Food	2	8547
afternoon	0	0	short	0	Media	Restaurants	2	8548
night	6	1	medium	0	Philadelphia	Food	1	8549
evening	3	0	medium	1	Conshohocken	Restaurants	2	8550
afternoon	0	0	long	1	Tucson	Burgers	2	8551
evening	6	1	long	1	Saint Louis	Bars	1	8552
evening	2	0	long	1	Metairie	Restaurants	2	8553
afternoon	4	0	medium	1	Florissant	Restaurants	1	8554
evening	2	0	long	0	Philadelphia	Barbeque	1	8555
night	3	0	long	1	Reno	Food	1	8556
night	6	1	long	1	New Orleans	Specialty Food	2	8557
morning	1	0	long	1	Plymouth Meeting	Sushi Bars	3	8558
night	4	0	short	0	Tampa	Barbeque	1	8559
night	2	0	long	1	Valley Park	Restaurants	2	8560
afternoon	1	0	long	1	Doylestown	Bed & Breakfast	3	8561
afternoon	0	0	long	1	Sparks	Specialty Food	2	8562
evening	4	0	long	1	St Louis	Beer Bar	1	8563
night	0	0	medium	1	Tampa	Restaurants	1	8564
evening	3	0	long	1	Indian Rocks Beach	Bars	2	8565
afternoon	5	1	medium	1	Saint Louis	Food	2	8566
night	5	1	medium	1	Saint Louis	Sports Bars	1	8567
night	3	0	long	1	Brownsburg	Bed & Breakfast	2	8568
evening	5	1	medium	1	Conshohocken	Restaurants	2	8569
evening	0	0	long	1	Santa Barbara	Bed & Breakfast	2	8570
evening	3	0	short	1	Philadelphia	Food Trucks	1	8571
morning	2	0	medium	0	Philadelphia	Cafes	1	8572
evening	2	0	long	1	Chesterfield	Restaurants	2	8573
night	1	0	short	0	Saint Louis	Burgers	2	8574
afternoon	3	0	long	1	Reno	Food	1	8575
afternoon	0	0	medium	1	St. Louis	Restaurants	2	8576
night	6	1	medium	1	Nashville	Coffee & Tea	2	8577
evening	0	0	medium	1	Saint Petersburg	Restaurants	1	8578
afternoon	4	0	long	1	Bensalem	Food	2	8579
afternoon	4	0	long	1	Saint Petersburg	Restaurants	2	8580
morning	6	1	long	0	Reno	Food	2	8581
afternoon	2	0	long	1	New Orleans	Cocktail Bars	2	8582
evening	0	0	long	1	Boothwyn	Food	2	8583
afternoon	1	0	medium	0	Saint Louis	Restaurants	2	8584
afternoon	1	0	short	1	Pinellas Park	Restaurants	2	8585
night	3	0	medium	1	Tucson	Restaurants	3	8586
evening	5	1	long	1	Saint Louis	Bars	2	8587
night	5	1	long	1	Lahaska	Food	2	8588
night	4	0	medium	1	Glenolden	Sports Bars	2	8589
night	3	0	long	0	Indianapolis	Bars	2	8590
afternoon	1	0	long	1	Tucson	Specialty Food	2	8591
night	1	0	short	1	Saint Louis	Food	2	8592
evening	5	1	short	1	Saint Louis	Wine Bars	2	8593
night	2	0	short	1	Tucson	Bars	2	8594
afternoon	4	0	long	1	St. Louis	Pizza	2	8595
afternoon	3	0	short	0	Philadelphia	Bars	2	8596
evening	5	1	long	1	St. Petersburg	Food	2	8597
evening	6	1	medium	0	Kimberton	Coffee & Tea	2	8598
night	0	0	long	1	Philadelphia	Barbers	3	8599
afternoon	4	0	long	1	Philadelphia	Breakfast & Brunch	3	8600
afternoon	2	0	long	1	Croydon	Restaurants	1	8601
night	6	1	long	1	Tampa	Barbeque	1	8602
afternoon	6	1	long	1	St Louis	Specialty Food	1	8603
afternoon	5	1	short	1	Philadelphia	Breakfast & Brunch	1	8604
evening	3	0	medium	0	Bryn Mawr	Pizza	1	8605
afternoon	3	0	long	1	Reno	Bars	2	8606
morning	2	0	long	1	Saint Louis	Bars	1	8607
afternoon	1	0	long	1	Nashville	Ethnic Food	1	8608
evening	0	0	medium	1	Saint Petersburg	Bars	2	8609
evening	3	0	medium	1	Philadelphia	Bars	2	8610
night	6	1	long	1	Tucson	Food	2	8611
evening	2	0	medium	1	Nashville	Restaurants	2	8612
evening	1	0	medium	1	Philadelphia	Coffee & Tea	1	8613
night	2	0	long	1	Santa Barbara	Coffee & Tea	2	8614
evening	3	0	medium	1	Nashville	Food Delivery Services	2	8615
night	3	0	long	1	Wayne	Restaurants	2	8616
evening	6	1	medium	0	Philadelphia	Food	2	8617
evening	3	0	long	0	New Orleans	Bed & Breakfast	2	8618
afternoon	0	0	medium	1	Mount Laurel	Restaurants	2	8619
afternoon	6	1	long	1	Carpinteria	Restaurants	2	8620
afternoon	5	1	medium	1	Santa Barbara	Food	2	8621
night	6	1	long	1	Nashville	Barbeque	2	8622
night	2	0	long	1	Edmonton	Restaurants	3	8623
evening	6	1	long	1	Indianapolis	Bars	2	8624
night	4	0	long	1	Tucson	Fast Food	1	8625
morning	6	1	long	1	St. Louis	Restaurants	2	8626
afternoon	2	0	long	1	Nashville	Sushi Bars	2	8627
afternoon	1	0	long	1	New Orleans	Food	3	8628
evening	0	0	long	1	Valrico	Pizza	1	8629
night	1	0	long	0	Gretna	Food	2	8630
night	5	1	long	1	Tampa	Sushi Bars	2	8631
evening	0	0	short	0	Philadelphia	Food	2	8632
evening	6	1	short	0	Saint Louis	Tapas Bars	2	8633
evening	2	0	medium	0	Willow Grove	Sushi Bars	2	8634
afternoon	6	1	long	1	Bridgeport	Restaurants	2	8635
night	4	0	long	0	Indianapolis	Restaurants	1	8636
afternoon	3	0	medium	1	Safety Harbor	Barbeque	2	8637
afternoon	5	1	medium	1	Saint Louis	Cocktail Bars	2	8638
morning	1	0	short	1	Saint Louis	Burgers	1	8639
evening	5	1	short	0	Philadelphia	Food	2	8640
evening	3	0	short	1	Des Peres	Restaurants	3	8641
afternoon	5	1	medium	1	New Orleans	Bars	3	8642
afternoon	6	1	short	1	Reno	Food	2	8643
evening	4	0	long	1	Saint Louis	Bars	2	8644
night	6	1	long	1	Santa Barbara	Bed & Breakfast	2	8645
evening	5	1	long	1	St Charles	Food	1	8646
night	4	0	long	1	St. Louis	Food	2	8647
afternoon	2	0	long	1	Philadelphia	Specialty Food	3	8648
morning	2	0	long	1	Nashville	Restaurants	2	8649
night	0	0	long	1	Ybor City	Bars	2	8650
afternoon	3	0	medium	1	Indianapolis	Wine Bars	2	8651
morning	4	0	long	1	Edmonton	Breakfast & Brunch	2	8652
morning	5	1	short	1	New Orleans	Cafes	2	8653
evening	2	0	long	1	St. Louis	Specialty Food	1	8654
evening	1	0	medium	1	New Orleans	Food	2	8655
night	5	1	long	1	St Pete Beach	Breakfast & Brunch	2	8656
afternoon	5	1	short	1	New Orleans	Bars	2	8657
night	0	0	long	1	Maplewood	Restaurants	2	8658
night	2	0	long	1	Franklin	Bars	3	8659
night	0	0	long	0	Marrero	Food	1	8660
afternoon	4	0	long	1	Fenton	Food	2	8661
night	5	1	long	0	Santa Barbara	Food	2	8662
afternoon	0	0	long	1	Boise	Food	2	8663
evening	0	0	long	0	New Orleans	Wine Bars	2	8664
morning	1	0	long	1	Philadelphia	Restaurants	4	8665
evening	2	0	long	1	Indianapolis	Sports Bars	2	8666
night	0	0	long	1	Boise	Coffee & Tea	2	8667
evening	6	1	medium	1	St. Louis	Breakfast & Brunch	2	8668
night	6	1	long	1	Collingswood	Restaurants	2	8669
night	3	0	long	0	Saint Louis	Burgers	2	8670
evening	6	1	medium	1	St. Louis	Specialty Food	1	8671
night	1	0	medium	1	Philadelphia	Pizza	1	8672
night	1	0	medium	1	New Orleans	Breakfast & Brunch	2	8673
evening	3	0	long	1	Franklin	Restaurants	2	8674
night	0	0	long	1	New Orleans	Pizza	1	8675
afternoon	2	0	long	0	New Orleans	Bed & Breakfast	2	8676
night	0	0	long	0	Santa Barbara	Bars	1	8677
evening	5	1	medium	1	Philadelphia	Breakfast & Brunch	1	8678
night	1	0	short	0	Philadelphia	Juice Bars & Smoothies	2	8679
evening	2	0	short	1	Franklin	Restaurants	2	8680
afternoon	6	1	long	1	Nashville	Cocktail Bars	2	8681
night	3	0	long	1	Shiloh	Restaurants	2	8682
evening	6	1	short	1	Kirkwood	Food	1	8683
afternoon	4	0	medium	1	Maplewood	Cafes	1	8684
afternoon	4	0	medium	0	Greenwood	Cafes	2	8685
night	6	1	long	0	Indianapolis	Restaurants	2	8686
evening	4	0	long	0	Reno	Breakfast & Brunch	2	8687
afternoon	2	0	long	1	Nashville	Cocktail Bars	2	8688
evening	0	0	long	1	Haddonfield	Food	2	8689
evening	4	0	medium	0	Saint Petersburg	Restaurants	1	8690
morning	1	0	medium	1	Nashville	Ethnic Food	1	8691
afternoon	6	1	medium	0	Philadelphia	Wine Bars	2	8692
morning	1	0	long	1	Lutz	Specialty Food	2	8693
evening	3	0	short	0	Santa Barbara	Barbers	2	8694
evening	5	1	medium	1	South Pasadena	Burgers	2	8695
afternoon	3	0	medium	0	Philadelphia	Bars	1	8696
evening	3	0	medium	1	New Orleans	Specialty Food	2	8697
afternoon	0	0	medium	1	Philadelphia	Juice Bars & Smoothies	1	8698
afternoon	5	1	medium	0	Carmel	Barbers	2	8699
evening	4	0	long	1	O Fallon	Restaurants	1	8700
evening	4	0	medium	1	New Orleans	Restaurants	1	8701
night	6	1	long	1	Haddonfield	Specialty Food	2	8702
evening	0	0	long	1	Mooresville	Restaurants	2	8703
afternoon	6	1	long	1	Boise	Food	2	8704
afternoon	0	0	long	1	Santa Barbara	Themed Cafes	1	8705
evening	3	0	long	1	St. Louis	Restaurants	2	8706
night	2	0	medium	1	Willow Grove	Cafes	1	8707
night	6	1	long	1	Tampa	Bars	3	8708
afternoon	4	0	long	1	St. Louis	Breakfast & Brunch	2	8709
afternoon	5	1	long	1	O Fallon	Restaurants	2	8710
afternoon	1	0	short	0	Tampa	Restaurants	1	8711
evening	0	0	long	1	Nashville	Breakfast & Brunch	2	8712
afternoon	0	0	long	1	Swansea	Pizza	2	8713
night	3	0	long	1	Reno	Breakfast & Brunch	2	8714
night	3	0	medium	1	Saint Louis	Bars	1	8715
evening	5	1	long	1	Metairie	Food	2	8716
evening	1	0	long	1	Philadelphia	Coffee & Tea	1	8717
evening	0	0	medium	0	Ybor City	Bars	2	8718
afternoon	1	0	long	0	Tarpon Springs	Food	2	8719
afternoon	3	0	short	1	St Louis	Restaurants	1	8720
night	2	0	medium	1	Mooresville	Restaurants	2	8721
evening	6	1	long	0	Reno	Sushi Bars	2	8722
evening	3	0	long	1	St Louis	Beer Bar	1	8723
evening	6	1	medium	0	Nashville	Restaurants	2	8724
evening	4	0	long	1	New Orleans	Bars	3	8725
afternoon	6	1	long	1	Gretna	Restaurants	2	8726
evening	0	0	long	1	Boise	Restaurants	2	8727
morning	2	0	medium	0	Nashville	Food	1	8728
night	0	0	long	0	Reno	Wine Bars	2	8729
night	5	1	long	1	Goleta	Restaurants	1	8730
evening	6	1	medium	1	Tucson	Restaurants	1	8731
morning	1	0	medium	1	Largo	Breakfast & Brunch	2	8732
afternoon	3	0	long	1	New Orleans	Champagne Bars	2	8733
evening	4	0	long	0	Metairie	Bars	3	8734
evening	5	1	long	1	Largo	Restaurants	1	8735
night	6	1	long	1	Isla Vista	Restaurants	2	8736
evening	6	1	medium	1	Tampa	Bars	3	8737
night	6	1	medium	0	Sparks	Comfort Food	1	8738
night	2	0	long	1	Edmonton	Food	1	8739
evening	0	0	long	1	St Charles	Food	1	8740
night	2	0	long	1	Nashville	Food	3	8741
afternoon	4	0	medium	1	Westwego	Specialty Food	2	8742
evening	5	1	long	1	Meridian	Burgers	2	8743
morning	2	0	long	1	New Orleans	Dive Bars	1	8744
evening	6	1	medium	0	Bensalem	Restaurants	3	8745
evening	4	0	short	1	New Orleans	Restaurants	2	8746
afternoon	2	0	medium	1	Dunedin	Food	1	8747
night	0	0	short	0	Philadelphia	Breakfast & Brunch	1	8748
evening	5	1	medium	1	Tampa	Coffee & Tea	2	8749
evening	3	0	medium	1	New Orleans	Cafes	1	8750
afternoon	1	0	medium	1	New Orleans	Cocktail Bars	2	8751
afternoon	4	0	long	1	Boise	Food	3	8752
evening	3	0	long	1	Trenton	Food	1	8753
evening	0	0	medium	1	Tucson	Food	2	8754
afternoon	1	0	long	1	Philadelphia	Breakfast & Brunch	1	8755
evening	5	1	medium	0	Tucson	Fast Food	1	8756
night	4	0	long	1	Tucson	Coffee & Tea	2	8757
afternoon	6	1	medium	1	Philadelphia	Food	2	8758
night	4	0	long	1	Clayton	Soul Food	3	8759
evening	2	0	medium	1	Franklin	Barbeque	2	8760
night	2	0	long	1	Glenolden	Sports Bars	2	8761
evening	3	0	long	1	Edwardsville	Restaurants	2	8762
morning	0	0	long	1	Sparks	Food	2	8763
afternoon	5	1	long	0	St. Louis	Restaurants	2	8764
night	2	0	long	1	Rosemont	Restaurants	2	8765
afternoon	6	1	long	1	Philadelphia	Bars	1	8766
evening	0	0	medium	1	Clearwater	Food	2	8767
evening	5	1	medium	1	Bensalem	Barbeque	2	8768
evening	1	0	short	0	Reno	Breakfast & Brunch	2	8769
evening	2	0	medium	0	Philadelphia	Barbers	2	8770
night	1	0	long	0	Springfield	Restaurants	1	8771
afternoon	0	0	short	1	Metairie	Restaurants	1	8772
afternoon	5	1	long	1	Prospect Park	Pizza	1	8773
evening	2	0	long	1	St Pete Beach	Breakfast & Brunch	2	8774
evening	6	1	short	0	Saint Louis	Bars	2	8775
morning	6	1	long	1	St. Louis	Food	1	8776
night	4	0	short	0	Philadelphia	Bars	2	8777
afternoon	3	0	medium	1	St. Louis	Restaurants	2	8778
afternoon	0	0	medium	1	King of Prussia	Restaurants	1	8779
night	5	1	long	1	South Cinnaminson	Fast Food	2	8780
afternoon	1	0	long	1	New Orleans	Champagne Bars	2	8781
evening	5	1	long	1	Carmel	Restaurants	1	8782
morning	3	0	medium	1	Tucson	Restaurants	2	8783
afternoon	5	1	long	1	Indianapolis	Food	1	8784
night	6	1	medium	1	Mount Laurel	Restaurants	2	8785
afternoon	4	0	medium	1	Saint Louis	Pizza	2	8786
afternoon	6	1	long	1	St Louis	Beer Bar	1	8787
evening	0	0	long	1	Bridgeton	Bars	1	8788
morning	2	0	medium	1	Saint Louis	Bars	2	8789
night	4	0	long	1	Saint Petersburg	Cafes	2	8790
night	0	0	long	1	Montecito	Tapas Bars	2	8791
night	1	0	long	1	Metairie	Bars	3	8792
evening	2	0	medium	1	Saint Louis	Food	2	8793
night	6	1	medium	1	Tucson	Bars	1	8794
afternoon	6	1	long	1	Aston	Sports Bars	2	8795
afternoon	0	0	long	1	Brentwood	Restaurants	1	8796
afternoon	4	0	long	1	Philadelphia	Cocktail Bars	2	8797
afternoon	0	0	long	0	Tampa	Bars	3	8798
night	0	0	medium	1	Tampa	Sushi Bars	2	8799
morning	4	0	medium	1	Philadelphia	Specialty Food	3	8800
afternoon	6	1	long	1	Tampa	Specialty Food	2	8801
evening	3	0	medium	1	Nashville	Bars	2	8802
night	1	0	medium	0	Philadelphia	Food	2	8803
night	1	0	long	1	Plainfield	Bars	2	8804
night	5	1	long	1	Jobstown	Food	2	8805
afternoon	5	1	medium	1	Philadelphia	Food	3	8806
afternoon	4	0	medium	1	Largo	Restaurants	1	8807
night	2	0	medium	0	New Orleans	Dive Bars	1	8808
night	4	0	long	1	King Of Prussia	Restaurants	2	8809
afternoon	2	0	long	1	Philadelphia	Cocktail Bars	3	8810
evening	3	0	medium	1	Indianapolis	Pizza	2	8811
evening	0	0	long	1	Reno	Fast Food	2	8812
night	2	0	medium	1	Brentwood	Restaurants	2	8813
afternoon	2	0	medium	1	Doylestown	Restaurants	3	8814
evening	0	0	short	0	Media	Restaurants	2	8815
morning	2	0	medium	0	Tampa	Pizza	2	8816
evening	6	1	long	1	Tampa	Pizza	1	8817
night	2	0	long	1	Edmonton	Bars	2	8818
afternoon	3	0	medium	1	Blue Bell	Food	2	8819
evening	6	1	medium	1	Tampa	Coffee & Tea	1	8820
morning	3	0	long	1	Indianapolis	Restaurants	3	8821
night	3	0	long	1	Philadelphia	Specialty Food	3	8822
evening	6	1	long	1	Seminole	Pizza	2	8823
night	0	0	medium	1	Santa Barbara	Live/Raw Food	2	8824
night	5	1	long	1	Santa Barbara	Sushi Bars	3	8825
afternoon	5	1	medium	1	New Orleans	Breakfast & Brunch	2	8826
afternoon	0	0	medium	1	Doylestown	Food	1	8827
night	0	0	medium	1	St. Louis	Specialty Food	1	8828
night	0	0	long	1	Saint Louis	Tapas Bars	2	8829
night	4	0	short	1	Saint Petersburg	Specialty Food	2	8830
evening	4	0	long	1	Philadelphia	Specialty Food	3	8831
evening	2	0	medium	1	Nashville	Food	2	8832
evening	6	1	medium	1	Philadelphia	Food Trucks	1	8833
evening	2	0	medium	1	Riverview	Bars	1	8834
afternoon	5	1	short	0	Nashville	Food Delivery Services	1	8835
night	4	0	medium	1	Tucson	Restaurants	2	8836
afternoon	1	0	long	1	Saint Charles	Restaurants	2	8837
afternoon	4	0	long	1	Metairie	Specialty Food	2	8838
afternoon	3	0	long	1	Philadelphia	Breakfast & Brunch	1	8839
afternoon	0	0	medium	0	Spring House	Restaurants	2	8840
afternoon	3	0	medium	1	New Orleans	Bars	2	8841
afternoon	4	0	long	1	Ewing Township	Food	1	8842
morning	1	0	medium	1	Tucson	Food	2	8843
evening	0	0	long	1	St. Louis	Specialty Food	1	8844
evening	5	1	short	1	Tampa	Restaurants	2	8845
evening	1	0	medium	1	Saint Louis	Breakfast & Brunch	1	8846
afternoon	4	0	long	0	Saint Louis	Food	2	8847
morning	3	0	short	1	Tampa	Food	1	8848
afternoon	3	0	long	1	St Louis	Restaurants	2	8849
morning	3	0	medium	1	Edmonton	Food	1	8850
night	3	0	long	1	Montecito	Tapas Bars	2	8851
afternoon	5	1	long	1	Philadelphia	Restaurants	4	8852
night	2	0	long	1	Reno	Sushi Bars	2	8853
night	1	0	long	1	Haddonfield	Restaurants	2	8854
afternoon	5	1	medium	0	Kenner	Food	2	8855
night	2	0	long	1	Harahan	Food	2	8856
morning	4	0	long	1	Philadelphia	Food Stands	1	8857
night	0	0	medium	0	Nashville	Barbers	2	8858
evening	6	1	long	1	Royersford	Restaurants	2	8859
night	1	0	long	1	Edmonton	Cafes	2	8860
night	3	0	short	1	Philadelphia	Bars	1	8861
afternoon	2	0	long	0	Sicklerville	Barbeque	2	8862
afternoon	2	0	long	1	Tuscon	Restaurants	2	8863
evening	5	1	long	1	Philadelphia	Bars	3	8864
evening	0	0	long	1	Reno	Food	2	8865
morning	1	0	long	1	Saint Louis	Bars	3	8866
night	4	0	long	1	Trenton	Restaurants	1	8867
morning	6	1	long	1	Reno	Restaurants	2	8868
evening	6	1	long	1	Maple Shade	Restaurants	2	8869
afternoon	6	1	medium	0	Royersford	Restaurants	2	8870
evening	0	0	short	1	Maryland Heights	Restaurants	2	8871
morning	4	0	long	1	Santa Barbara	Bed & Breakfast	2	8872
evening	4	0	long	1	Washington Crossing	Restaurants	2	8873
night	2	0	long	1	Nashville	Burgers	1	8874
afternoon	2	0	medium	0	Kirkwood	Food	2	8875
afternoon	2	0	long	1	Temple Terrace	Restaurants	2	8876
afternoon	2	0	long	1	Philadelphia	Food Stands	1	8877
afternoon	2	0	medium	1	Broomall	Coffee & Tea	2	8878
night	6	1	long	0	St. Louis	Food	2	8879
night	1	0	medium	1	Nashville	Restaurants	2	8880
evening	4	0	medium	0	Reno	Food	3	8881
afternoon	1	0	long	0	St. Louis	Specialty Food	1	8882
afternoon	1	0	medium	1	Reno	Restaurants	2	8883
morning	4	0	medium	0	Paoli	Restaurants	2	8884
afternoon	6	1	long	1	Chesterfield	Restaurants	2	8885
afternoon	1	0	long	1	King Of Prussia	Restaurants	4	8886
evening	5	1	medium	1	New Hope	Restaurants	2	8887
night	5	1	long	1	St Louis	Beer Bar	1	8888
afternoon	4	0	long	0	Philadelphia	Specialty Food	3	8889
night	2	0	medium	1	Reno	Bars	1	8890
night	1	0	medium	1	Saint Louis	Bars	2	8891
evening	4	0	long	1	Wynnewood	Food	2	8892
morning	5	1	long	1	Brandon	Sushi Bars	2	8893
night	1	0	long	1	Creve Coeur	Comfort Food	1	8894
afternoon	4	0	long	1	Boise	Food	2	8895
afternoon	2	0	long	1	Philadelphia	Fast Food	2	8896
night	0	0	medium	0	Philadelphia	Breakfast & Brunch	2	8897
night	0	0	short	1	Indianapolis	Food	2	8898
afternoon	4	0	medium	1	Philadelphia	Fast Food	1	8899
afternoon	4	0	medium	1	Saint Louis	Restaurants	1	8900
morning	1	0	long	1	Tampa	Juice Bars & Smoothies	2	8901
afternoon	3	0	medium	1	Saint Louis	Cafes	2	8902
afternoon	0	0	long	1	Clayton	Food	2	8903
evening	1	0	long	1	Royersford	Restaurants	2	8904
night	2	0	long	1	St. Louis	Specialty Food	1	8905
night	5	1	medium	0	Collingswood	Restaurants	2	8906
evening	0	0	long	1	Norristown	Restaurants	1	8907
afternoon	5	1	long	1	New Orleans	Cafes	1	8908
afternoon	6	1	long	1	Medford	Food	2	8909
evening	3	0	medium	1	Philadelphia	Cocktail Bars	3	8910
afternoon	1	0	medium	0	Saint Petersburg	Sushi Bars	2	8911
evening	4	0	long	1	Reno	Restaurants	2	8912
evening	4	0	medium	0	Santa Barbara	Food	2	8913
night	4	0	long	1	Feasterville-Trevose	Restaurants	1	8914
afternoon	2	0	long	1	Philadelphia	Food Delivery Services	2	8915
evening	3	0	medium	1	St Petersburg	Bars	2	8916
morning	5	1	long	1	Bryn Mawr	Restaurants	2	8917
afternoon	2	0	medium	1	Mount Ephraim	Restaurants	1	8918
night	1	0	medium	1	Metairie	Restaurants	2	8919
night	4	0	short	1	Indianapolis	Breakfast & Brunch	2	8920
afternoon	6	1	long	1	St Louis	Restaurants	2	8921
morning	2	0	short	1	Runnemede	Restaurants	2	8922
evening	5	1	medium	0	Haddonfield	Food	2	8923
morning	4	0	medium	1	Philadelphia	Restaurants	1	8924
evening	6	1	medium	0	Tampa	Restaurants	1	8925
night	5	1	long	1	St Louis	Food	2	8926
afternoon	6	1	medium	1	Gulfport	Cocktail Bars	2	8927
afternoon	6	1	long	1	New Orleans	Bars	3	8928
afternoon	2	0	medium	1	Largo	Restaurants	2	8929
evening	0	0	long	1	Edmonton	Food	2	8930
morning	4	0	long	1	Brentwood	Restaurants	1	8931
afternoon	0	0	long	0	Eagle	Restaurants	2	8932
afternoon	2	0	long	1	Tampa	Food	1	8933
evening	3	0	long	1	Philadelphia	Barbers	3	8934
afternoon	1	0	medium	1	New Orleans	Bars	1	8935
night	1	0	long	1	Plant City	Restaurants	2	8936
evening	1	0	long	1	Edmonton	Specialty Food	2	8937
evening	1	0	long	1	Town and Country	Bars	2	8938
evening	4	0	medium	0	Tampa	Pizza	2	8939
night	3	0	long	1	St. Louis	Food	2	8940
afternoon	0	0	medium	0	Reno	Restaurants	1	8941
afternoon	6	1	medium	1	Folsom	Burgers	1	8942
afternoon	0	0	long	1	Chalfont	Restaurants	2	8943
afternoon	6	1	long	1	Lutz	Restaurants	2	8944
morning	0	0	medium	0	Philadelphia	Specialty Food	3	8945
morning	0	0	medium	1	Plymouth Meeting	Sushi Bars	3	8946
afternoon	2	0	long	0	Philadelphia	Pizza	1	8947
afternoon	4	0	long	1	Tampa	Pizza	1	8948
afternoon	4	0	medium	1	Lumberton	Restaurants	2	8949
night	0	0	short	0	Lambertville	Restaurants	1	8950
afternoon	0	0	medium	0	West Chester	Restaurants	2	8951
night	6	1	long	1	Santa Barbara	Sushi Bars	3	8952
night	2	0	long	1	Newtown	Restaurants	2	8953
night	3	0	long	1	Edmonton	Restaurants	1	8954
night	4	0	medium	1	New Orleans	Fast Food	1	8955
afternoon	5	1	long	1	North Wales	Restaurants	2	8956
night	2	0	medium	0	Meridian	Food	1	8957
evening	3	0	medium	0	Eddystone	Food	2	8958
night	4	0	long	1	St. Louis	Breakfast & Brunch	2	8959
afternoon	4	0	long	1	Chesterfield	Restaurants	2	8960
night	4	0	long	1	Wilmington	Bars	3	8961
afternoon	1	0	medium	1	O Fallon	Restaurants	1	8962
evening	5	1	long	1	St. Louis	Specialty Food	1	8963
night	0	0	medium	1	Tucson	Food	1	8964
evening	0	0	long	0	Philadelphia	Coffee & Tea	2	8965
afternoon	1	0	long	0	Saint Louis	Restaurants	2	8966
afternoon	6	1	medium	0	Saint Pete Beach	Restaurants	2	8967
night	3	0	long	1	Nashville	Sports Bars	1	8968
afternoon	2	0	medium	1	Reno	Food	2	8969
afternoon	1	0	long	1	Pinellas Park	Food	1	8970
night	6	1	medium	0	Hermitage	Food	1	8971
afternoon	1	0	long	1	Tucson	Food Trucks	1	8972
night	4	0	short	1	Santa Barbara	Food	2	8973
night	0	0	medium	1	Nashville	Breakfast & Brunch	2	8974
afternoon	4	0	long	1	Philadelphia	Wine Bars	2	8975
night	6	1	long	1	Franklin	Food	2	8976
afternoon	0	0	long	1	Tampa	Barbeque	2	8977
night	2	0	medium	1	Tucson	Food	2	8978
morning	4	0	long	1	Sparks	Restaurants	2	8979
night	0	0	long	1	Philadelphia	Sports Bars	2	8980
afternoon	3	0	long	1	Boise	Food	2	8981
morning	3	0	long	1	Hatfield	Bars	2	8982
night	0	0	long	1	Reno	Bars	1	8983
morning	5	1	long	1	Santa Barbara	Restaurants	2	8984
afternoon	1	0	long	1	St. Petersburg	Food	2	8985
morning	6	1	medium	1	Santa Barbara	Food	2	8986
evening	4	0	long	1	New Orleans	Wine Bars	2	8987
afternoon	2	0	long	1	Indianapolis	Food Delivery Services	2	8988
evening	5	1	long	1	St Louis	Food	2	8989
night	5	1	long	1	Tampa	Pizza	2	8990
afternoon	0	0	long	1	Saint Louis	Cafes	2	8991
evening	2	0	long	1	Indianapolis	Restaurants	1	8992
night	0	0	long	1	Saint Louis	Dive Bars	1	8993
night	2	0	long	1	Media	Bars	2	8994
morning	5	1	long	1	Jenkintown	Dive Bars	1	8995
afternoon	2	0	medium	1	Santa Barbara	Food	2	8996
night	3	0	medium	1	Nashville	Bars	2	8997
evening	6	1	long	1	Nashville	Burgers	2	8998
night	2	0	long	1	Tampa	Restaurants	2	8999
afternoon	6	1	long	1	Haddonfield	Food	2	9000
evening	1	0	short	1	Philadelphia	Pizza	1	9001
morning	5	1	long	0	Indianapolis	Food	2	9002
night	0	0	long	1	Philadelphia	Coffee & Tea	1	9003
night	4	0	short	0	Carmel	Burgers	2	9004
afternoon	2	0	long	1	St Louis	Beer Bar	1	9005
morning	0	0	long	1	Fenton	Restaurants	1	9006
afternoon	5	1	medium	1	Greenwood	Restaurants	1	9007
evening	2	0	medium	1	Paoli	Restaurants	2	9008
afternoon	1	0	short	1	Narberth	Food	1	9009
afternoon	2	0	long	1	Levittown	Comfort Food	2	9010
evening	3	0	long	1	Philadelphia	Sushi Bars	2	9011
afternoon	0	0	medium	1	Philadelphia	Specialty Food	2	9012
afternoon	4	0	medium	1	Tampa	Burgers	2	9013
afternoon	5	1	long	1	Saint Louis	Restaurants	1	9014
afternoon	2	0	long	1	Philadelphia	Breakfast & Brunch	1	9015
